run_id,label,total,passed,failed,answered,abstained_or_reviewed,runner_exit_code,batch_size,adapter_batch_size,router_failures,adapter_loading_failures,pass_rate,fail_rate,answered_rate,abstain_review_rate,router_failure_rate
20260617T080846Z,0617 0808,512,261,251,246,266,1,,,223,26,0.509765625,0.490234375,0.48046875,0.51953125,0.435546875
20260617T141041Z,0617 1410,512,192,320,235,277,1,,,264,0,0.375,0.625,0.458984375,0.541015625,0.515625
20260617T210048Z,0617 2100,512,166,346,164,348,1,,,334,0,0.32421875,0.67578125,0.3203125,0.6796875,0.65234375
20260621T150034Z,0621 1500,512,192,320,235,277,1,,,264,0,0.375,0.625,0.458984375,0.541015625,0.515625
20260621T182207Z,0621 1822,512,280,232,301,211,1,,,199,0,0.546875,0.453125,0.587890625,0.412109375,0.388671875
20260621T214211Z,0621 2142,512,333,179,371,141,1,,,133,0,0.650390625,0.349609375,0.724609375,0.275390625,0.259765625
20260622T090656Z,0622 0906,64,43,21,46,18,1,4.0,,13,0,0.671875,0.328125,0.71875,0.28125,0.203125
20260622T102452Z,0622 1024,512,191,321,233,279,1,4.0,,266,0,0.373046875,0.626953125,0.455078125,0.544921875,0.51953125
20260622T123008Z,0622 1230,512,191,321,233,279,1,8.0,8.0,266,0,0.373046875,0.626953125,0.455078125,0.544921875,0.51953125
20260622T161859Z,0622 1618,512,357,155,402,110,1,8.0,16.0,102,0,0.697265625,0.302734375,0.78515625,0.21484375,0.19921875
20260623T141657Z,0623 1416,512,264,248,280,232,1,8.0,16.0,219,0,0.515625,0.484375,0.546875,0.453125,0.427734375
20260623T160733Z,0623 1607,512,303,209,319,193,1,8.0,16.0,180,0,0.591796875,0.408203125,0.623046875,0.376953125,0.3515625
